Time Base:500μs,
Sampling Rate:5.00MSa/s,
Amplitude:2.00V,
Amplitude resolution:80.00mV,
Data Uint:mv,
Data points:64000,
  0.00E+00,3.9374999999999995e-05
 -8.00E+01,3.95e-05
  0.00E+00,3.9625e-05
  0.00E+00,3.975e-05
 -8.00E+01,3.9875e-05
 -8.00E+01,3.9999999999999996e-05
  0.00E+00,4.0125e-05
  0.00E+00,4.0249999999999996e-05
 -8.00E+01,4.0375e-05
  0.00E+00,4.0499999999999995e-05
 -8.00E+01,4.0625e-05
 -8.00E+01,4.075e-05
 -8.00E+01,4.0875e-05
  8.00E+01,4.1e-05
  0.00E+00,4.1125e-05
  0.00E+00,4.125e-05
  0.00E+00,4.1374999999999996e-05
  0.00E+00,4.15e-05
  8.00E+01,4.1624999999999995e-05
  0.00E+00,4.175e-05
  0.00E+00,4.1875e-05
  0.00E+00,4.2e-05
  8.00E+01,4.2125e-05
 -8.00E+01,4.225e-05
  0.00E+00,4.2375e-05
  0.00E+00,4.2499999999999996e-05
 -8.00E+01,4.2625e-05
 -1.60E+02,4.2749999999999996e-05
 -8.00E+01,4.2875e-05
 -1.60E+02,4.2999999999999995e-05
 -8.00E+01,4.3125e-05
 -8.00E+01,4.325e-05
  0.00E+00,4.3375e-05
  0.00E+00,4.35e-05
  0.00E+00,4.3624999999999997e-05
 -8.00E+01,4.375e-05
  0.00E+00,4.3874999999999996e-05
  0.00E+00,4.4e-05
  0.00E+00,4.4124999999999995e-05
  8.00E+01,4.425e-05
 -8.00E+01,4.4375e-05
  0.00E+00,4.45e-05
  1.60E+02,4.4625e-05
  1.60E+02,4.475e-05
  1.60E+02,4.4875e-05
  1.60E+02,4.4999999999999996e-05
  1.60E+02,4.5125e-05
  1.60E+02,4.5249999999999995e-05
  8.00E+01,4.5375e-05
  1.60E+02,4.5499999999999995e-05
  8.00E+01,4.5625e-05
  8.00E+01,4.575e-05
  8.00E+01,4.5875e-05
  8.00E+01,4.6e-05
  1.60E+02,4.6124999999999996e-05
  1.60E+02,4.625e-05
  8.00E+01,4.6374999999999996e-05
  8.00E+01,4.65e-05
  0.00E+00,4.6624999999999995e-05
  0.00E+00,4.675e-05
  0.00E+00,4.6875e-05
 -8.00E+01,4.7e-05
  0.00E+00,4.7125e-05
  0.00E+00,4.7249999999999997e-05
  0.00E+00,4.7375e-05
  0.00E+00,4.7499999999999996e-05
  0.00E+00,4.7625e-05
  0.00E+00,4.7749999999999995e-05
  0.00E+00,4.7875e-05
  0.00E+00,4.8e-05
 -8.00E+01,4.8125e-05
 -8.00E+01,4.825e-05
  0.00E+00,4.8375e-05
  0.00E+00,4.85e-05
  0.00E+00,4.8624999999999996e-05
  0.00E+00,4.875e-05
  0.00E+00,4.8874999999999995e-05
  8.00E+01,4.9e-05
  0.00E+00,4.9124999999999995e-05
  0.00E+00,4.925e-05
  0.00E+00,4.9375e-05
 -8.00E+01,4.95e-05
  0.00E+00,4.9625e-05
  0.00E+00,4.9749999999999996e-05
  0.00E+00,4.9875e-05
  0.00E+00,4.9999999999999996e-05
  0.00E+00,5.0125e-05
  0.00E+00,5.0249999999999995e-05
  8.00E+01,5.0375e-05
  8.00E+01,5.05e-05
  0.00E+00,5.0625e-05
  0.00E+00,5.075e-05
  0.00E+00,5.0874999999999997e-05
  0.00E+00,5.1e-05
  0.00E+00,5.1124999999999996e-05
  0.00E+00,5.125e-05
  0.00E+00,5.1374999999999995e-05
  0.00E+00,5.15e-05
  8.00E+01,5.1624999999999994e-05
  0.00E+00,5.175e-05
  0.00E+00,5.1875e-05
  8.00E+01,5.2e-05
  8.00E+01,5.2125e-05
  8.00E+01,5.2249999999999996e-05
  8.00E+01,5.2375e-05
  8.00E+01,5.2499999999999995e-05
  8.00E+01,5.2625e-05
  8.00E+01,5.2749999999999995e-05
  8.00E+01,5.2875e-05
  0.00E+00,5.3e-05
  1.60E+02,5.3125e-05
  0.00E+00,5.325e-05
  8.00E+01,5.3374999999999996e-05
  8.00E+01,5.35e-05
  8.00E+01,5.3624999999999996e-05
 -8.00E+01,5.375e-05
  0.00E+00,5.3874999999999995e-05
 -8.00E+01,5.4e-05
 -8.00E+01,5.4124999999999994e-05
 -1.60E+02,5.425e-05
 -1.60E+02,5.4375e-05
 -1.60E+02,5.4499999999999997e-05
 -8.00E+01,5.4625e-05
 -1.60E+02,5.4749999999999996e-05
 -1.60E+02,5.4875e-05
 -1.60E+02,5.4999999999999995e-05
 -8.00E+01,5.5125e-05
  0.00E+00,5.5249999999999994e-05
 -8.00E+01,5.5375e-05
  0.00E+00,5.55e-05
